File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V10_J150_T10_R60_B10_W4_S60_N0.txt,10,150,12,4,524,524,0.00,102.79
Ins_V5_J150_T30_R60_B10_W2_S58_N8.txt,5,150,36,2,1504,1504,0.00,0.56
Ins_V10_J50_T20_R60_B10_W2_S160_N0.txt,10,50,25,2,151,164,8.61,0.07
Ins_V2_J50_T20_R60_B10_W1_S101_N1.txt,2,50,23,1,747,747,0.00,0.03
Ins_V5_J150_T20_R60_B10_W2_S49_N9.txt,5,150,23,2,1119,1119,0.00,0.52
Ins_V10_J200_T20_R60_B10_W4_S342_N2.txt,10,200,25,4,985,985,0.00,241.23
Ins_V2_J150_T20_R60_B10_W4_S15_N5.txt,2,150,25,4,3800,3800,0.00,240.17
Ins_V2_J100_T10_R60_B10_W1_S183_N3.txt,2,100,12,1,1026,1026,0.00,0.13
Ins_V2_J50_T10_R60_B10_W4_S98_N8.txt,2,50,12,3,855,855,0.00,0.04
Ins_V2_J150_T10_R60_B10_W2_S8_N8.txt,2,150,12,2,2035,2035,0.00,0.92
Ins_V5_J150_T10_R60_B10_W2_S37_N7.txt,5,150,12,2,765,765,0.00,0.50
Ins_V5_J200_T20_R60_B10_W1_S313_N3.txt,5,200,25,1,1286,1286,0.00,0.88
Ins_V10_J150_T10_R60_B10_W4_S67_N7.txt,10,150,13,4,539,539,0.00,91.63
Ins_V5_J150_T30_R60_B10_W1_S55_N5.txt,5,150,39,1,1341,1341,0.00,0.51
Ins_V2_J50_T30_R60_B10_W2_S113_N3.txt,2,50,40,2,1319,1319,0.00,0.03
Ins_V10_J200_T20_R60_B10_W4_S346_N6.txt,10,200,25,4,1010,1010,0.00,241.15
Ins_V2_J200_T30_R60_B10_W4_S295_N5.txt,2,200,40,4,6813,6813,0.00,240.17
Ins_V2_J150_T30_R60_B10_W1_S26_N6.txt,2,150,39,1,3562,3562,0.00,0.35
Ins_V10_J200_T20_R60_B10_W2_S343_N3.txt,10,200,28,2,804,804,0.00,1.69
Ins_V2_J100_T10_R60_B10_W2_S180_N0.txt,2,100,11,2,1318,1318,0.00,0.11
Ins_V10_J200_T30_R60_B10_W2_S352_N2.txt,10,200,37,2,1013,1013,0.00,8.65
Ins_V5_J100_T30_R60_B10_W4_S234_N4.txt,5,100,39,4,1345,1345,0.00,2.75
Ins_V10_J100_T20_R60_B10_W1_S254_N4.txt,10,100,22,1,251,264,5.18,0.20
Ins_V10_J150_T10_R60_B10_W1_S65_N5.txt,10,150,12,1,261,261,0.00,0.41
Ins_V10_J150_T10_R60_B10_W2_S63_N3.txt,10,150,11,2,323,323,0.00,1.34
Ins_V10_J150_T10_R60_B10_W2_S60_N0.txt,10,150,12,2,380,380,0.00,1.20
Ins_V5_J100_T10_R60_B10_W4_S218_N8.txt,5,100,11,4,803,803,0.00,5.37
Ins_V2_J150_T30_R60_B10_W2_S25_N5.txt,2,150,38,2,3995,3995,0.00,0.84
Ins_V10_J50_T10_R60_B10_W2_S158_N8.txt,10,50,12,2,79,95,20.25,0.04
Ins_V2_J50_T20_R60_B10_W4_S106_N6.txt,2,50,27,4,1276,1276,0.00,0.04
Ins_V5_J150_T10_R60_B10_W2_S31_N1.txt,5,150,12,2,796,796,0.00,0.52
Ins_V10_J150_T30_R60_B10_W4_S86_N6.txt,10,150,34,4,879,879,0.00,242.88
Ins_V2_J150_T30_R60_B10_W4_S28_N8.txt,2,150,36,4,4731,4731,0.00,18.11
Ins_V10_J200_T10_R60_B10_W4_S332_N2.txt,10,200,12,4,763,763,0.00,240.86
Ins_V5_J50_T10_R60_B10_W4_S126_N6.txt,5,50,13,4,384,384,0.00,223.81
Ins_V2_J100_T20_R60_B10_W4_S196_N6.txt,2,100,27,4,2773,2773,0.00,240.18
Ins_V5_J200_T30_R60_B10_W4_S329_N9.txt,5,200,38,4,2590,2590,0.00,240.30
Ins_V5_J100_T20_R60_B10_W1_S221_N1.txt,5,100,26,1,633,634,0.16,0.15
Ins_V5_J50_T10_R60_B10_W1_S128_N8.txt,5,50,14,1,165,170,3.03,0.04
Ins_V5_J50_T10_R60_B10_W1_S122_N2.txt,5,50,13,1,163,163,0.00,0.04
Ins_V2_J50_T10_R60_B10_W1_S98_N8.txt,2,50,12,1,465,465,0.00,0.04
Ins_V5_J100_T20_R60_B10_W2_S225_N5.txt,5,100,25,2,756,756,0.00,0.35
Ins_V2_J150_T10_R60_B10_W2_S2_N2.txt,2,150,12,2,2045,2045,0.00,0.42
Ins_V10_J200_T10_R60_B10_W1_S333_N3.txt,10,200,12,1,354,354,0.00,1.45
Ins_V2_J100_T10_R60_B10_W4_S185_N5.txt,2,100,12,5,2150,2150,0.00,0.96
Ins_V5_J100_T30_R60_B10_W2_S237_N7.txt,5,100,41,2,1095,1095,0.00,0.22
Ins_V5_J200_T20_R60_B10_W4_S310_N0.txt,5,200,25,4,2148,2148,0.00,240.35
Ins_V5_J100_T20_R60_B10_W2_S228_N8.txt,5,100,25,2,756,756,0.00,0.25
Ins_V2_J50_T10_R60_B10_W4_S93_N3.txt,2,50,11,4,1019,1019,0.00,0.06
Ins_V2_J100_T30_R60_B10_W1_S209_N9.txt,2,100,36,1,2179,2179,0.00,0.09
Ins_V5_J50_T10_R60_B10_W2_S120_N0.txt,5,50,11,2,190,191,0.53,0.04
